Hyperparameters	Train_Accuracy	Test_Accuracy
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9967
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9969
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9967
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}	1.0000	0.9962
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9969
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9969
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}	1.0000	0.9962
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}	0.9999	0.9971
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}	1.0000	0.9974
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9957
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9967
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9964
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}	0.9999	0.9960
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9962
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9962
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}	0.9996	0.9957
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}	0.9999	0.9969
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}	0.9998	0.9967
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9971
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9964
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9964
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}	1.0000	0.9964
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9962
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9967
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}	1.0000	0.9964
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}	0.9999	0.9967
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 150}	1.0000	0.9964
