Hyperparameters	Train_Accuracy	Test_Accuracy
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9502
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9576
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9560
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}	1.0000	0.9521
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9593
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9590
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}	0.9996	0.9533
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}	0.9999	0.9567
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}	1.0000	0.9583
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}	0.9987	0.9455
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}	0.9988	0.9483
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}	0.9992	0.9531
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}	0.9981	0.9483
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}	0.9987	0.9498
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}	0.9989	0.9540
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}	0.9963	0.9488
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}	0.9974	0.9483
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}	0.9977	0.9514
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9548
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9569
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9569
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}	1.0000	0.9519
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9579
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9605
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}	0.9994	0.9502
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}	0.9998	0.9581
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 150}	0.9998	0.9557
