hyperparameters,train_accuracy,test_accuracy
"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.915952380952381
"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.925
"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}",1.0,0.927142857142857
"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.999973544973545,0.9185714285714285
"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9230952380952381
"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}",1.0,0.9245238095238095
"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9996031746031745,0.9157142857142857
"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9998941798941798,0.9233333333333332
"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}",0.99994708994709,0.9252380952380952
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9988095238095237,0.9142857142857143
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9991269841269842,0.9216666666666666
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}",0.9992328042328043,0.924047619047619
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9982010582010583,0.915
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9984391534391536,0.9228571428571429
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.9987830687830688,0.9261904761904762
"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.9970634920634922,0.910952380952381
"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.9974074074074075,0.924047619047619
"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}",0.9978306878306877,0.924047619047619
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9154761904761906
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9219047619047618
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}",1.0,0.9266666666666665
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.99994708994709,0.9242857142857144
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9219047619047618
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}",1.0,0.9233333333333335
"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.9997089947089947,0.9171428571428573
"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.9998677248677248,0.9195238095238096
"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 150}",0.999973544973545,0.9238095238095239
