Hyperparameters	Train_Accuracy	Test_Accuracy
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9160
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9250
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9271
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}	1.0000	0.9186
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9231
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9245
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}	0.9996	0.9157
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}	0.9999	0.9233
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}	0.9999	0.9252
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}	0.9988	0.9143
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}	0.9991	0.9217
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}	0.9992	0.9240
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}	0.9982	0.9150
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}	0.9984	0.9229
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}	0.9988	0.9262
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}	0.9971	0.9110
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}	0.9974	0.9240
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}	0.9978	0.9240
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9155
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9219
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9267
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}	0.9999	0.9243
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9219
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9233
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}	0.9997	0.9171
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}	0.9999	0.9195
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 150}	1.0000	0.9238
