hyperparameters,train_accuracy,test_accuracy
"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9388095238095238
"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9452380952380952
"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}",1.0,0.949047619047619
"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.999973544973545,0.9428571428571427
"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.947142857142857
"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}",1.0,0.9499999999999998
"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9995238095238095,0.9433333333333334
"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9998677248677248,0.9476190476190476
"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}",0.999920634920635,0.9452380952380951
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.996084656084656,0.9397619047619047
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9968253968253968,0.9407142857142856
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}",0.9970634920634922,0.945
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9955026455026454,0.9388095238095238
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9967989417989418,0.9426190476190476
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.9968783068783068,0.9423809523809524
"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.9938359788359789,0.9397619047619047
"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.9946296296296298,0.944047619047619
"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}",0.9948941798941799,0.943095238095238
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9428571428571427
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9466666666666667
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}",1.0,0.9492857142857142
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.99994708994709,0.9419047619047618
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9452380952380951
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}",0.999973544973545,0.9485714285714286
"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.9993915343915344,0.9454761904761904
"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.9996031746031747,0.9473809523809523
"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 150}",0.9996825396825397,0.9488095238095238
