Hyperparameters	Train_Accuracy	Test_Accuracy
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9388
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9452
{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9490
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}	1.0000	0.9429
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9471
{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9500
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}	0.9995	0.9433
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}	0.9999	0.9476
{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 150}	0.9999	0.9452
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}	0.9961	0.9398
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}	0.9968	0.9407
{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}	0.9971	0.9450
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}	0.9955	0.9388
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}	0.9968	0.9426
{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}	0.9969	0.9424
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}	0.9938	0.9398
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}	0.9946	0.9440
{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}	0.9949	0.9431
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}	1.0000	0.9429
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}	1.0000	0.9467
{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}	1.0000	0.9493
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}	0.9999	0.9419
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}	1.0000	0.9452
{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}	1.0000	0.9486
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}	0.9994	0.9455
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}	0.9996	0.9474
{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 150}	0.9997	0.9488
